ID,Year,Start,End,Operation,Parent,Duration (days),Days into parent,Drones,Air to air,Cruise missiles,Aerial bombing,Close air support,Ground troops,Paramil,US allies,State targets,Non-state targets,Latitude,Longitude,Urban,Forest,Mountain,Side A casualties,Side B casualties,Civilian casualties,US casualties,Latitude_Clean,Longitude_Clean
59,1991,2/26/1991,2/27/1991,Battle of 73 Easting,Gulf War,1,208,0,0,0,0,1,1,0,1,1,0,298.452.777.862.549,467.908.325.195.312,0,0,0,6,,,6,29.84527779,46.79083252
62,1991,2/27/1991,2/27/1991,Battle of Kuwait International Airport,Gulf War,0,209,0,0,0,0,1,1,1,0,1,0,292.374.992.370.605,479.738.883.972.168,1,0,0,19,,,19,29.23749924,47.9738884
63,1991,2/27/1991,2/27/1991,Battle of Norfolk,Gulf War,0,209,0,0,0,0,0,1,0,1,1,0,299.133.171,452.993.862,0,0,0,36,,,21,29.9133171,45.2993862
53,1991,3/1/1991,12/31/1996,Operation Provide Comfort,Gulf War,2132,211,0,1,0,1,1,1,1,8,1,0,364.103.395,443.871.953,0,0,1,31,90,,5,36.4103395,44.3871953
56,1993,1/13/1993,1/22/1993,January 1993 airstrikes on Iraq,Gulf War,9,895,0,0,1,1,0,0,0,2,1,0,309.397.220.611.572,460.924.987.792.969,0,0,0,0,1,5,0,30.93972206,46.09249878
296,1993,4/12/1993,12/20/1995,Operation Deny Flight,Bosnian War,982,371,0,0,0,1,1,0,0,1,1,0,,,,,,9,,,1,43.915886,17.679076
54,1993,6/26/1993,6/26/1993,1993 cruise missile strikes on Iraq,Gulf War,0,1059,0,0,1,0,0,0,0,0,1,0,267.505.337,516.834.275,0,0,0,0,,9,0,26.7505337,51.6834275
39,1993,8/22/1993,10/13/1993,Operation Gothic Serpent,Somali Civil War,52,939,0,0,0,0,1,1,1,5,1,1,20.469.343,453.181.623,,,,45,750,,19,2.0469343,45.3181623
2,1994,9/19/1994,3/31/1995,Operation Uphold Democracy,1991 Haitian coup d'état,193,1086,0,0,0,0,0,1,1,2,1,0,18.971.187,-72.285.215,1,0,1,1,301,,1,18.971187,-72.285215
58,1994,10/8/1994,12/15/1994,Operation Vigilant Warrior,Gulf War,68,1528,0,0,0,0,1,1,1,0,1,0,300.830.204,477.025.402,2,0,0,,,,,30.0830204,47.7025402
290,1995,1/1/1995,1/1/1996,Implementation Force,Bosnian War,365,1000,0,0,0,0,0,1,0,32,1,0,43.915.886,17.679.076,0,1,1,,,,,43.915886,17.679076
291,1995,8/30/1995,9/20/1995,Operation Deliberate Force,Bosnian War,21,1241,0,0,0,1,0,0,0,1,1,0,43.915.886,17.679.076,0,1,1,0,26,27,0,43.915886,17.679076
49,1995,12/1/1995,2/17/1997,Operation Vigilant Sentinel,Gulf War,444,1947,0,0,0,0,1,1,0,1,1,0,267.505.337,516.834.275,0,0,0,0,0,0,0,26.7505337,51.6834275
48,1996,9/3/1996,9/3/1996,Cruise missile strikes on Iraq,Gulf War,0,2224,0,0,1,0,0,0,0,0,1,0,33.223.191,43.679.291,0,0,0,,,,,33.223191,43.679291
52,1997,1/1/1997,3/17/1997,Operation Northern Watch,Gulf War,75,2344,0,0,1,1,0,0,0,2,1,0,364.103.395,443.871.953,0,0,1,0,8,0,0,36.4103395,44.3871953
70,1998,8/20/1998,8/20/1998,Operation Infinite Reach,cruise missile strikes on Afghanistan and Sudan,0,0,0,0,1,0,0,0,0,1,2,6,156.458.330.154.419,325.616.683.959.961,1,0,0,0,34,,0,15.64583302,32.5616684
69,1998,8/20/1998,8/20/1998,Operation Infinite Reach,Operation Infinite Reach,0,0,0,0,1,0,0,0,0,1,2,6,156.458.330.154.419,325.616.683.959.961,1,0,0,0,34,,0,15.64583302,32.5616684
