ID,Year,Start,End,Operation,Parent,Duration (days),Days into parent,Drones,Air to air,Cruise missiles,Aerial bombing,Close air support,Ground troops,Paramil,US allies,State targets,Non-state targets,Latitude,Longitude,Urban,Forest,Mountain,Side A casualties,Side B casualties,Civilian casualties,US casualties,Latitude_Clean,Longitude_Clean,Coordinate_Status,Coordinate_Note
218,2009,2009-08-12,2009-08-15,Battle of Dahaneh,War in Afghanistan,3,2866,0,0,0,1,1,1,0,2,1,1,330.285.568.237.305,621.421.127.319.336,0,0,1,1,21,,1,33.02855682,62.14211273,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
191,2009,2009-09-04,2009-09-04,2009 Kunduz airstrike,War in Afghanistan,0,2889,0,0,0,1,0,0,0,1,1,1,367.285.907,688.680.663,0,0,1,,,100,,36.7285907,68.8680663,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
174,2009,2009-09-14,2009-09-14,2009 Baraawe raid,Operation Enduring Freedom – Horn of Africa,0,2534,0,0,0,0,1,0,1,0,1,2,111.333.334.445.953,440.302.772.521.973,2,0,0,0,6,,0,1.11333334,44.03027725,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
201,2009,2009-10-03,2009-10-03,Battle of Kamdesh,War in Afghanistan,0,2918,0,0,0,1,1,1,0,2,1,1,354.230.995.178.223,713.289.031.982.422,0,0,1,12,150,,8,35.42309952,71.3289032,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
219,2009,2009-12-04,2009-12-12,Operation Cobra's Anger,War in Afghanistan,8,2980,0,0,0,0,1,1,0,2,1,2,324.000.226,644.318.916,0,0,1,4,16,,,32.4000226,64.4318916,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
257,2009,2009-12-16,2009-12-18,Operation Septentrion,War in Afghanistan,2,2992,0,0,0,0,1,0,1,0,1,1,346.313.402,697.182.676,0,0,1,,,,,34.6313402,69.7182676,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
239,2009,2009-12-27,2009-12-27,Night raid on Narang,War in Afghanistan,0,3003,0,0,0,0,0,0,1,1,1,1,347.575.631,710.376.754,0,0,1,,,10,,34.7575631,71.0376754,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
263,2010,2010-02-12,2010-02-12,Raid on Khataba,War in Afghanistan,0,3050,0,0,0,0,0,1,0,0,1,1,335.999.984.741.211,692.169.418.334.961,0,0,1,,,,,33.59999847,69.21694183,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
228,2010,2010-02-13,2010-12-07,Operation Moshtarak,War in Afghanistan,297,3051,1,0,0,1,1,1,1,6,1,3,315.166.664.123.535,641.166.687.011.719,0,0,1,61,120,28,45,31.51666641,64.1166687,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
276,2010,2010-02-21,2010-02-21,Uruzgan helicopter attack,War in Afghanistan,0,3059,0,0,0,0,1,0,1,0,1,1,329.271.287,661.415.263,0,0,1,,,30,,32.9271287,66.1415263,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
270,2010,2010-06-10,2010-06-14,Shah Wali Kot Offensive,War in Afghanistan,4,3168,0,0,0,0,1,0,0,2,1,1,320.740.778,661.415.263,0,0,1,0,100,,0,32.0740778,66.1415263,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
221,2010,2010-07-01,2011-05-01,Battle of Sangin (2010),War in Afghanistan,304,3189,0,0,0,0,0,1,0,3,1,1,320.710.999,648.525.866,0,0,1,,,,,32.0710999,64.8525866,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
192,2010,2010-07-23,2010-07-23,2010 Sangin airstrike,War in Afghanistan,0,3211,0,0,0,1,0,0,0,1,1,1,320.710.999,648.525.866,0,0,1,,39,46,,32.0710999,64.8525866,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
98,2010,2010-09-10,2010-09-13,Battle of the Palm Grove,Iraq conflict (2003–present),3,2731,0,0,0,1,1,1,0,1,0,1,337.733.487,451.494.505,0,0,0,5,,,0,33.7733487,45.1494505,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
245,2010,2010-09-15,2010-12-31,Operation Dragon Strike,War in Afghanistan,107,3265,0,0,0,0,0,1,0,2,2,1,309.960.679,65.475.736,0,0,1,42,,,34,30.9960679,65.475736,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
